asset_type,category,file_name,description,commons_url,license_note,source,local_path,downloaded,compliance_status
image,3D Geometric Solids,Platonic solids inscribed in the sphere.JPG,"Photograph of all five Platonic solids (tetrahedron, cube, octahedron, dodecahedron, icosahedron) nested inside a transparent sphere, showing their geometric relationship.",https://commons.wikimedia.org/wiki/File:Platonic_solids_inscribed_in_the_sphere.JPG,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/3D Geometric Solids/Platonic solids inscribed in the sphere.JPG,yes,Not Reviewed
image,3D Geometric Solids,Platonische Koerper Escher.jpg,"Wide-format composite image displaying the five Platonic solids in an Escher-inspired arrangement, useful as a design banner or panoramic graphic.",https://commons.wikimedia.org/wiki/File:Platonische_Koerper_Escher.jpg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/3D Geometric Solids/Platonische Koerper Escher.jpg,yes,Not Reviewed
image,3D Geometric Solids,Pravilni dodekaedar.png,"Clean line-art diagram of a regular dodecahedron (12-faced solid), rendered as a flat vector-style illustration.",https://commons.wikimedia.org/wiki/File:Pravilni_dodekaedar.png,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/3D Geometric Solids/Pravilni dodekaedar.png,yes,Not Reviewed
image,3D Geometric Solids,Pravilni ikosaedar.png,"Clean line-art diagram of a regular icosahedron (20-faced solid), matching a set of consistent Platonic-solid illustrations.",https://commons.wikimedia.org/wiki/File:Pravilni_ikosaedar.png,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/3D Geometric Solids/Pravilni ikosaedar.png,yes,Not Reviewed
image,3D Geometric Solids,Pravilni oktaedar.png,"Clean line-art diagram of a regular octahedron (8-faced solid), part of the same matched illustration set.",https://commons.wikimedia.org/wiki/File:Pravilni_oktaedar.png,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/3D Geometric Solids/Pravilni oktaedar.png,yes,Not Reviewed
image,3D Geometric Solids,Pravilni tetraedar.png,"Clean line-art diagram of a regular tetrahedron (4-faced solid), part of the same matched illustration set.",https://commons.wikimedia.org/wiki/File:Pravilni_tetraedar.png,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/3D Geometric Solids/Pravilni tetraedar.png,yes,Not Reviewed
image,3D Geometric Solids,All Platonic solids & Some Archimedean solids.jpg,Photograph of a full physical model set showing all Platonic solids alongside several Archimedean solids together for scale and comparison.,https://commons.wikimedia.org/wiki/File:All_Platonic_solids_&_Some_Archimedean_solids.jpg,CC BY-SA (verify version on file page),Wikimedia Commons,,"NO - missing, see note below",Not Reviewed
image,3D Geometric Solids,Models of four platonic solids.JPG,"Photograph of four handmade/printed Platonic solid models grouped together, useful for a tactile, 'real-object' math visual.",https://commons.wikimedia.org/wiki/File:Models_of_four_platonic_solids.JPG,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/3D Geometric Solids/Models of four platonic solids.JPG,yes,Not Reviewed
image,3D Geometric Solids,Platonic solids sg01.jpg,"Studio-style photograph of a complete Platonic solids set, evenly lit and neutrally staged for illustrative use.",https://commons.wikimedia.org/wiki/File:Platonic_solids_sg01.jpg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/3D Geometric Solids/Platonic solids sg01.jpg,yes,Not Reviewed
image,3D Geometric Solids,Polyhedra.jpg,"General photograph of assorted polyhedra models, suitable as a broad 'geometry in 3D' visual.",https://commons.wikimedia.org/wiki/File:Polyhedra.jpg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/3D Geometric Solids/Polyhedra.jpg,yes,Not Reviewed
image,Fractals & Self-Similar Patterns,Fractal Broccoli.jpg,"Macro photograph of Romanesco broccoli, a naturally occurring fractal pattern; explicitly dedicated to the public domain by the photographer.",https://commons.wikimedia.org/wiki/File:Fractal_Broccoli.jpg,Public Domain (explicit dedication by author),Wikimedia Commons,downloads/Fractals & Self-Similar Patterns/Fractal Broccoli.jpg,yes,Not Reviewed
image,Fractals & Self-Similar Patterns,Cantor dust.svg,"Vector diagram of the Cantor dust construction, a classic 2D fractal built by repeatedly removing the middle sections of a square grid.",https://commons.wikimedia.org/wiki/File:Cantor_dust.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractals & Self-Similar Patterns/Cantor dust.svg,yes,Not Reviewed
image,Fractals & Self-Similar Patterns,Cantor dust.png,"Raster version of the Cantor dust fractal pattern, showing several iterations of the construction.",https://commons.wikimedia.org/wiki/File:Cantor_dust.png,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractals & Self-Similar Patterns/Cantor dust.png,yes,Not Reviewed
image,Fractals & Self-Similar Patterns,Box fractal2.png,"Illustration of a box fractal (a Cantor-dust variant), showing the recursive square-subdivision pattern.",https://commons.wikimedia.org/wiki/File:Box_fractal2.png,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractals & Self-Similar Patterns/Box fractal2.png,yes,Not Reviewed
image,Fractals & Self-Similar Patterns,Koch antisnowflake 1 through 4.svg,"Vector diagram showing four iterations of the Koch anti-snowflake curve side by side, illustrating fractal growth step by step.",https://commons.wikimedia.org/wiki/File:Koch_antisnowflake_1_through_4.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractals & Self-Similar Patterns/Koch antisnowflake 1 through 4.svg,yes,Not Reviewed
image,Fractals & Self-Similar Patterns,KochAntiSnowflake.svg,Single clean vector rendering of the completed Koch anti-snowflake fractal curve.,https://commons.wikimedia.org/wiki/File:KochAntiSnowflake.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractals & Self-Similar Patterns/KochAntiSnowflake.svg,yes,Not Reviewed
image,Fractals & Self-Similar Patterns,Julia set (highres 01).jpg,"High-resolution rendered image of a Julia set, a colorful complex-plane fractal related to the Mandelbrot set.",https://commons.wikimedia.org/wiki/File:Julia_set_(highres_01).jpg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractals & Self-Similar Patterns/Julia set (highres 01).jpg,yes,Not Reviewed
image,Fractals & Self-Similar Patterns,Mandel zoom 11 satellite double spiral.jpg,"Deep-zoom rendering of the Mandelbrot set showing a 'satellite' double-spiral structure, useful for eye-catching background art.",https://commons.wikimedia.org/wiki/File:Mandel_zoom_11_satellite_double_spiral.jpg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractals & Self-Similar Patterns/Mandel zoom 11 satellite double spiral.jpg,yes,Not Reviewed
